question_id,answer,is_right
54,gruel-like,0
54,porridge,0
54,kasha,1
54,dark,1
55,null,null
56,dark,0
56,topaz,0
56,washeteria,0
56,julep,1
57,dark,0
57,topaz,0
57,washeteria,0
57,julep,1
58,dark,0
58,topaz,0
58,washeteria,0
58,julep,1
59,dark,0
59,topaz,0
59,washeteria,0
59,julep,1
60,null,null
61,procellous,0
61,buss,0
61,accoucheur,1
61,zoonosology,1
62,procellous,0
62,buss,0
62,accoucheur,1
62,zoonosology,1
63,procellous,0
63,buss,0
63,accoucheur,1
63,zoonosology,1
64,procellous,0
64,buss,0
64,accoucheur,1
64,zoonosology,1
65,null,null
66,zugzwang,0
66,vendange,0
66,polystachious,0
66,gentilitian,1
67,zugzwang,0
67,vendange,0
67,polystachious,0
67,gentilitian,1
68,zugzwang,0
68,vendange,0
68,polystachious,0
68,gentilitian,1
69,zugzwang,0
69,vendange,0
69,polystachious,0
69,gentilitian,1
70,null,null
71,gaposis,0
71,viaggiatory,0
71,quena,1
71,groundsel,1
72,gaposis,0
72,viaggiatory,0
72,quena,1
72,groundsel,1
73,gaposis,0
73,viaggiatory,0
73,quena,1
73,groundsel,1
74,gaposis,0
74,viaggiatory,0
74,quena,1
74,groundsel,1
75,null,null
76,logia,0
76,vamplate,1
76,psychognosy,1
76,irrefragable,1
77,logia,0
77,vamplate,1
77,psychognosy,1
77,irrefragable,1
78,logia,0
78,vamplate,1
78,psychognosy,1
78,irrefragable,1
79,logia,0
79,vamplate,1
79,psychognosy,1
79,irrefragable,1
80,null,null

81,accursed,0
81,boulevard,0
81,crafty,1
81,pistol,1
82,accursed,0
82,boulevard,0
82,crafty,1
82,pistol,1
83,accursed,0
83,boulevard,0
83,crafty,1
83,pistol,1
84,accursed,0
84,boulevard,0
84,crafty,1
84,pistol,1
85,null,null
86,abasia,0
86,doubled,0
86,binate,0
86,dish,1
87,abasia,0
87,doubled,0
87,binate,0
87,dish,1
88,abasia,0
88,doubled,0
88,binate,0
88,dish,1
89,abasia,0
89,doubled,0
89,binate,0
89,dish,1
90,null,null
91,gruel-like,0
91,porridge,0
91,kasha,1
91,dark,1
92,gruel-like,0
92,porridge,0
92,kasha,1
92,dark,1
93,gruel-like,0
93,porridge,0
93,kasha,1
93,dark,1
94,gruel-like,0
94,porridge,0
94,kasha,1
94,dark,1
95,null,null
96,dark,0
96,topaz,0
96,washeteria,0
96,julep,1
97,dark,0
97,topaz,0
97,washeteria,0
97,julep,1
98,dark,0
98,topaz,0
98,washeteria,0
98,julep,1
99,dark,0
99,topaz,0
99,washeteria,0
99,julep,1
100,null,null
101,procellous,0
101,buss,0
101,accoucheur,1
101,zoonosology,1
102,procellous,0
102,buss,0
102,accoucheur,1
102,zoonosology,1
103,procellous,0
103,buss,0
103,accoucheur,1
103,zoonosology,1
104,procellous,0
104,buss,0
104,accoucheur,1
104,zoonosology,1
105,null,null
106,zugzwang,0
106,vendange,0
106,polystachious,0
106,gentilitian,1
107,zugzwang,0
107,vendange,0
107,polystachious,0
107,gentilitian,1
108,zugzwang,0
108,vendange,0
108,polystachious,0
108,gentilitian,1
109,zugzwang,0
109,vendange,0
109,polystachious,0
109,gentilitian,1
110,null,null
111,gaposis,0
111,viaggiatory,0
111,quena,1
111,groundsel,1
112,gaposis,0
112,viaggiatory,0
112,quena,1
112,groundsel,1
113,gaposis,0
113,viaggiatory,0
113,quena,1
113,groundsel,1
114,gaposis,0
114,viaggiatory,0
114,quena,1
114,groundsel,1
115,null,null
116,logia,0
116,vamplate,1
116,psychognosy,1
116,irrefragable,1
117,logia,0
117,vamplate,1
117,psychognosy,1
117,irrefragable,1
118,logia,0
118,vamplate,1
118,psychognosy,1
118,irrefragable,1
119,logia,0
119,vamplate,1
119,psychognosy,1
119,irrefragable,1
120,null,null

121,accursed,0
121,boulevard,0
121,crafty,1
121,pistol,1
122,accursed,0
122,boulevard,0
122,crafty,1
122,pistol,1
123,accursed,0
123,boulevard,0
123,crafty,1
123,pistol,1
124,accursed,0
124,boulevard,0
124,crafty,1
124,pistol,1
125,null,null
126,abasia,0
126,doubled,0
126,binate,0
126,dish,1
127,abasia,0
127,doubled,0
127,binate,0
127,dish,1
128,abasia,0
128,doubled,0
128,binate,0
128,dish,1
129,abasia,0
129,doubled,0
129,binate,0
129,dish,1
130,null,null
131,gruel-like,0
131,porridge,0
131,kasha,1
131,dark,1
132,gruel-like,0
132,porridge,0
132,kasha,1
132,dark,1
133,gruel-like,0
133,porridge,0
133,kasha,1
133,dark,1
134,gruel-like,0
134,porridge,0
134,kasha,1
134,dark,1
135,null,null
136,dark,0
136,topaz,0
136,washeteria,0
136,julep,1
137,dark,0
137,topaz,0
137,washeteria,0
137,julep,1
138,dark,0
138,topaz,0
138,washeteria,0
138,julep,1
139,dark,0
139,topaz,0
139,washeteria,0
139,julep,1
140,null,null
141,procellous,0
141,buss,0
141,accoucheur,1
141,zoonosology,1
142,procellous,0
142,buss,0
142,accoucheur,1
142,zoonosology,1
143,procellous,0
143,buss,0
143,accoucheur,1
143,zoonosology,1
144,procellous,0
144,buss,0
144,accoucheur,1
144,zoonosology,1
145,null,null
146,zugzwang,0
146,vendange,0
146,polystachious,0
146,gentilitian,1
147,zugzwang,0
147,vendange,0
147,polystachious,0
147,gentilitian,1
148,zugzwang,0
148,vendange,0
148,polystachious,0
148,gentilitian,1
149,zugzwang,0
149,vendange,0
149,polystachious,0
149,gentilitian,1
150,null,null
151,gaposis,0
151,viaggiatory,0
151,quena,1
151,groundsel,1
152,gaposis,0
152,viaggiatory,0
152,quena,1
152,groundsel,1
153,gaposis,0
153,viaggiatory,0
153,quena,1
153,groundsel,1
154,gaposis,0
154,viaggiatory,0
154,quena,1
154,groundsel,1
155,null,null
156,logia,0
156,vamplate,1
156,psychognosy,1
156,irrefragable,1
157,logia,0
157,vamplate,1
157,psychognosy,1
157,irrefragable,1
158,logia,0
158,vamplate,1
158,psychognosy,1
158,irrefragable,1
159,logia,0
159,vamplate,1
159,psychognosy,1
159,irrefragable,1
160,null,null
